LOCATION,TIME
AUS,1970
AUS,2015
AUS,2016
AUT,1970
AUT,1971
AUT,1972
AUT,1973
AUT,1974
AUT,1975
AUT,1976
AUT,1977
AUT,1978
AUT,1979
AUT,1980
AUT,1981
AUT,1982
AUT,1983
AUT,1984
AUT,1985
AUT,1986
AUT,1987
AUT,1988
AUT,1989
AUT,2016
BEL,1998
BEL,1999
BEL,2000
BEL,2001
BEL,2002
BEL,2016
CAN,2015
CAN,2016
CZE,1970
CZE,1971
CZE,1972
CZE,1973
CZE,1974
CZE,1975
CZE,1976
CZE,1977
CZE,1978
CZE,1979
CZE,1980
CZE,1981
CZE,1982
CZE,1983
CZE,1984
CZE,1985
CZE,1986
CZE,1987
CZE,1988
CZE,1989
CZE,2016
DNK,1970
DNK,1971
DNK,1972
DNK,1973
DNK,1974
DNK,1975
DNK,1976
DNK,1977
DNK,1978
DNK,1979
DNK,2016
FIN,2016
FRA,1971
FRA,1972
FRA,1973
FRA,1974
FRA,1976
FRA,1977
FRA,1978
FRA,1979
FRA,1981
FRA,1982
FRA,1983
FRA,1984
FRA,1986
FRA,1987
FRA,1988
FRA,1989
FRA,2016
DEU,1991
DEU,2016
GRC,1970
GRC,1971
GRC,1972
GRC,1973
GRC,1974
GRC,1975
GRC,1976
GRC,1977
GRC,1978
GRC,1979
GRC,1980
GRC,1981
GRC,1982
GRC,1983
GRC,1984
GRC,1985
GRC,1986
GRC,1987
GRC,2008
GRC,2016
HUN,1970
HUN,1971
HUN,1972
HUN,1973
HUN,1974
HUN,1975
HUN,1976
HUN,1977
HUN,1978
HUN,1979
HUN,1980
HUN,1981
HUN,1982
HUN,1983
HUN,1984
HUN,1985
HUN,1986
HUN,1987
HUN,1988
HUN,1989
HUN,1990
HUN,1998
HUN,1999
HUN,2000
HUN,2016
ISL,2016
IRL,1970
IRL,1971
IRL,1972
IRL,1973
IRL,1974
IRL,2016
ITA,1970
ITA,1971
ITA,1972
ITA,1973
ITA,1974
ITA,1975
ITA,1976
ITA,1977
ITA,1978
ITA,1979
ITA,1980
ITA,1981
ITA,1982
ITA,1983
ITA,1984
ITA,1985
ITA,1986
ITA,1987
JPN,1970
JPN,1971
JPN,1972
JPN,1973
JPN,1974
JPN,1975
JPN,1976
JPN,1977
JPN,1978
JPN,1979
JPN,1981
JPN,1982
JPN,1983
JPN,2015
JPN,2016
LUX,1970
LUX,1971
LUX,1972
LUX,1973
LUX,1974
LUX,1975
LUX,1976
LUX,1977
LUX,1978
LUX,1979
LUX,1980
LUX,1981
LUX,1982
LUX,1983
LUX,1984
LUX,1985
LUX,1986
LUX,1987
LUX,1988
LUX,1989
LUX,1990
LUX,1991
LUX,1992
LUX,1993
LUX,1994
LUX,2016
NLD,1970
NLD,1971
NLD,2003
NLD,2004
NZL,1970
NZL,1972
NZL,1973
NZL,1974
NZL,1975
NZL,1977
NZL,1978
NZL,1979
NZL,1998
NZL,1999
NZL,2000
NZL,2001
NZL,2002
NZL,2003
NZL,2008
NZL,2009
NZL,2010
NZL,2011
NZL,2012
NZL,2013
NZL,2014
NZL,2015
NZL,2016
PRT,1971
PRT,1972
PRT,1973
PRT,1974
PRT,1975
PRT,1976
PRT,1999
PRT,2016
ESP,1970
ESP,1971
ESP,1972
ESP,1973
ESP,1974
ESP,1975
ESP,1976
ESP,1977
ESP,1978
ESP,1979
ESP,1991
ESP,1992
ESP,1993
ESP,1994
ESP,2016
SWE,2016
CHE,1970
CHE,1971
CHE,1972
CHE,1973
CHE,1974
CHE,1975
CHE,1976
CHE,1977
CHE,1978
CHE,1979
CHE,1980
CHE,1981
CHE,1982
CHE,1983
CHE,1984
CHE,2016
GBR,1998
GBR,1999
GBR,2000
GBR,2001
GBR,2002
GBR,2003
GBR,2004
GBR,2005
GBR,2006
GBR,2007
GBR,2008
GBR,2009
GBR,2010
GBR,2011
GBR,2012
GBR,2016
