LOCATION,TIME,PC_HEALTHXP,PC_GDP,USD_CAP,TOTAL_SPEND,Cluster
AUS,2005,15.218,1.213,432.513,8821.02,1
AUS,2006,15.276,1.219,461.821,9558.72,1
AUS,2007,15.201,1.225,485.887,10119.86,1
AUS,2008,15.412,1.273,510.172,10840.75,0
AUS,2009,15.535,1.334,553.724,12011.21,0
AUS,2010,15.63,1.324,563.857,12422.76,0
AUS,2011,15.311,1.315,580.921,12977.79,0
AUS,2012,15.308,1.336,582.874,13247.71,0
AUS,2013,14.989,1.32,627.402,14503.87,0
AUS,2014,14.386,1.306,616.997,14475.18,0
AUT,2005,13.325,1.277,445.188,3662.93,1
AUT,2006,13.37,1.268,474.834,3926.23,1
AUT,2007,13.605,1.289,504.849,4187.97,0
AUT,2008,13.606,1.311,538.253,4479.07,0
AUT,2009,12.53,1.271,517.265,4315.71,1
AUT,2010,12.368,1.251,524.143,4383.62,1
AUT,2011,12.473,1.236,546.783,4588.41,1
AUT,2012,12.181,1.234,570.525,4809.52,1
AUT,2013,12.222,1.245,594.13,5037.85,0
AUT,2014,12.324,1.268,616.256,5263.8,0
BEL,2005,17.026,1.536,512.107,5366.17,0
BEL,2006,16.501,1.472,521.218,5497.79,0
BEL,2007,16.676,1.493,550.12,5845.41,0
BEL,2008,16.407,1.532,584.31,6257.94,0
BEL,2009,15.792,1.59,605.096,6532.91,0
BEL,2010,15.677,1.555,623.97,6798.52,0
BEL,2011,15.345,1.547,638.092,7049.48,0
BEL,2012,14.599,1.487,629.735,7007.85,0
BEL,2013,14.273,1.48,642.958,7190.08,0
BEL,2014,13.851,1.44,644.954,7229.33,0
CAN,2005,18.058,1.637,592.738,19152.55,0
CAN,2006,18.251,1.68,638.701,20802.81,0
CAN,2007,18.052,1.679,662.072,21774.18,0
CAN,2008,17.828,1.687,679.645,22595.32,0
CAN,2009,17.824,1.885,731.121,24586.55,4
CAN,2010,18.471,1.951,780.901,26554.75,4
CAN,2011,18.32,1.872,778.209,26725.86,4
CAN,2012,17.883,1.828,770.464,26774.04,4
CAN,2013,17.575,1.778,783.949,27560.08,4
CAN,2014,17.453,1.743,785.811,27931.31,4
CHE,2005,10.622,1.089,440.715,3277.65,1
CHE,2006,10.399,1.02,458.412,3430.73,1
CHE,2007,10.305,0.993,491.141,3708.66,1
CHE,2008,10.137,0.991,518.695,3966.81,1
CHE,2009,10.134,1.053,543.521,4208.93,1
CHE,2010,14.503,1.558,824.671,6452.98,4
CHE,2011,14.439,1.562,873.221,6909.27,4
CHE,2012,14.307,1.588,914.396,7312.3,4
CHE,2013,14.083,1.6,956.715,7739.2,4
CHE,2014,13.895,1.61,985.969,8073.75,4
CZE,2005,25.7,1.643,360.063,3676.68,2
CZE,2006,23.478,1.457,346.049,3543.16,2
CZE,2007,22.213,1.339,348.982,3594.11,2
CZE,2008,20.906,1.332,370.216,3844.55,2
CZE,2009,22.139,1.618,446.076,4658.79,2
CZE,2010,20.418,1.418,392.131,4107.34,2
CZE,2011,20.432,1.426,410.511,4308.76,2
CZE,2012,21.496,1.511,438.857,4612.73,2
CZE,2013,17.932,1.384,421.887,4435.83,0
CZE,2014,17.109,1.293,418.414,4403.95,0
DEU,2005,15.387,1.581,512.48,42263.93,0
DEU,2006,14.983,1.518,527.646,43465.6,0
DEU,2007,15.321,1.53,566.139,46574.2,0
DEU,2008,15.339,1.562,603.742,49573.31,0
DEU,2009,15.207,1.698,640.783,52481.61,0
DEU,2010,14.968,1.652,660.571,54019.47,0
DEU,2011,14.255,1.532,654.053,52504.09,0
DEU,2012,14.102,1.524,663.777,53384.81,0
DEU,2013,13.995,1.535,694.318,55993.7,0
DEU,2014,14.359,1.587,746.704,60469.96,4
DNK,2005,8.58,0.78,266.357,1443.5,1
DNK,2006,8.718,0.799,298.291,1621.89,1
DNK,2007,8.886,0.829,322.787,1762.88,1
DNK,2008,8.328,0.792,326.956,1796.17,1
DNK,2009,7.613,0.813,328.132,1812.3,1
DNK,2010,7.696,0.798,344.01,1908.46,1
DNK,2011,7.819,0.797,354.029,1972.14,1
DNK,2012,7.395,0.759,340.25,1902.53,1
DNK,2013,6.896,0.704,329.056,1847.63,1
DNK,2014,6.757,0.693,331.484,1870.72,1
ESP,2005,20.653,1.585,439.206,19172.73,2
ESP,2006,19.635,1.523,469.511,20845.03,0
ESP,2007,19.01,1.49,485.437,21954.76,0
ESP,2008,18.494,1.533,512.994,23574.18,0
ESP,2009,18.252,1.641,531.957,24663.09,0
ESP,2010,18.192,1.641,524.963,24451.15,0
ESP,2011,17.78,1.617,518.368,24229.92,0
ESP,2012,17.652,1.602,512.297,23961.7,0
ESP,2013,18.679,1.685,549.259,25606.48,0
ESP,2014,17.909,1.627,547.538,25450.05,0
EST,2005,24.026,1.191,196.655,266.42,2
EST,2006,23.76,1.169,225.173,303.27,2
EST,2007,21.745,1.093,240.063,321.85,2
EST,2008,18.788,1.081,244.933,327.5,2
EST,2009,19.983,1.307,268.334,358.1,2
EST,2010,20.458,1.296,280.186,373.06,2
EST,2011,19.87,1.157,283.959,376.94,2
EST,2012,20.15,1.174,305.562,404.17,2
EST,2013,19.327,1.164,319.351,420.9,2
EST,2014,18.703,1.162,331.543,435.83,2
FIN,2005,16.109,1.288,412.21,2162.49,1
FIN,2006,14.67,1.174,403.756,2126.29,1
FIN,2007,14.676,1.149,432.867,2289.31,1
FIN,2008,14.585,1.179,471.269,2504.04,1
FIN,2009,14.059,1.247,472.342,2521.77,1
FIN,2010,13.512,1.198,465.105,2494.52,1
FIN,2011,12.919,1.156,470.342,2534.33,1
FIN,2012,12.622,1.173,476.358,2578.99,1
FIN,2013,12.471,1.184,488.809,2658.62,1
FIN,2014,12.327,1.169,485.113,2649.45,1
FRA,2005,17.568,1.788,548.873,34677.44,0
FRA,2006,17.322,1.74,567.916,36131.6,0
FRA,2007,17.21,1.714,587.233,37592.44,0
FRA,2008,17.044,1.722,607.178,39087.08,0
FRA,2009,16.623,1.796,626.498,40538.83,0
FRA,2010,16.358,1.752,633.393,41187.97,0
