LOCATION,TIME,PC_HEALTHXP,PC_GDP,USD_CAP,FLAG_CODES,TOTAL_SPEND,Cluster,PCA1,PCA2
AUS,1971,15.992,0.727,35.72,,462.11,1,-1.4109755512488724,0.3855594653331139
AUS,1972,15.091,0.686,36.056,,475.11,1,-1.5248407228297156,0.27079908729388874
AUS,1973,15.117,0.681,39.871,,533.47,1,-1.5195154743400512,0.263569906468826
AUS,1974,14.771,0.755,47.559,,652.65,1,-1.4214953564352206,0.2476702381250863
AUS,1975,11.849,0.682,47.561,,660.76,1,-1.7129077396513839,-0.0932477357385862
AUS,1976,10.92,0.63,46.908,,658.26,1,-1.846170867849466,-0.21425714724401873
AUS,1977,10.087,0.613,47.649,,676.23,1,-1.922040478358763,-0.31115660865987815
AUS,1978,9.958,0.591,50.799,,729.37,1,-1.9516642035251914,-0.34153837248097313
AUS,1979,8.981,0.523,49.766,,722.3,1,-2.1107279293855763,-0.47452391465142923
AUS,1980,9.263,0.54,56.972,,837.03,1,-2.0495248689962478,-0.4511918210008017
AUS,1981,9.388,0.548,65.39,,976.08,1,-2.00748865470977,-0.45110774943863097
AUS,1982,9.248,0.564,67.606,,1026.12,1,-1.9889232049076502,-0.4627393799094605
AUS,1983,9.589,0.58,74.083,,1138.58,1,-1.9270600724823685,-0.4324285491094715
AUS,1984,9.465,0.569,77.27,,1201.08,1,-1.9412988893802305,-0.45723221971827616
AUS,1985,9.56,0.58,84.134,,1325.78,1,-1.9013097950258067,-0.45593717656437044
AUS,1986,9.568,0.599,89.94,,1440.69,1,-1.8590620522846508,-0.45792158021594037
AUS,1987,9.543,0.582,93.578,,1521.94,1,-1.8735168112293625,-0.4763497147136494
AUS,1988,9.823,0.595,102.027,,1686.73,1,-1.814136178295991,-0.4581532385289675
AUS,1989,10.199,0.623,111.197,,1869.71,1,-1.7261197030169382,-0.42426138970762006
AUS,1990,10.474,0.677,120.773,,2061.0,1,-1.608523792568156,-0.3892901160609488
AUS,1991,10.937,0.739,134.356,,2322.21,1,-1.4567325654078171,-0.3388870163458358
AUS,1992,11.407,0.778,149.096,,2608.43,1,-1.3323260418930862,-0.30121523493300856
AUS,1993,11.977,0.819,165.359,,2921.4,1,-1.1944419447518129,-0.25519450388301135
AUS,1994,12.508,0.859,183.972,,3284.82,1,-1.053942626190687,-0.21863899354615365
AUS,1995,12.762,0.882,198.406,,3585.59,1,-0.966031253516078,-0.21098305185024024
AUS,1996,13.106,0.924,215.606,,3947.96,1,-0.8387904459156468,-0.1905978430011637
AUS,1997,13.437,0.95,232.59,,4306.87,1,-0.7346093887215303,-0.17882678315635117
